,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
386,lyubim,88,RU,1545781731,81,58.36,40.69,9.92,4.94
387,reconquista,0,AR,1545781731,67,-29.14,-59.64,79.4,4.61
388,nizhnevartovsk,0,RU,1545780600,68,60.93,76.58,-14.81,6.71
389,abonnema,36,NG,1545781732,94,4.71,6.79,73.37,4.5
390,waddan,36,LY,1545781732,71,29.16,16.14,35.66,4.38
391,kwinana,44,AU,1545780600,77,-32.25,115.77,69.8,8.05
392,bahia blanca,75,AR,1545777000,48,-38.72,-62.27,84.2,12.75
393,klyuchi,0,RU,1545781733,38,52.25,79.17,-24.87,6.96
394,vila,0,IT,1545780000,92,45.18,8.4,33.8,5.82
395,solano,0,PH,1545781734,83,16.52,121.18,69.63,2.82
396,byron bay,75,AU,1545780600,47,-28.65,153.62,78.8,8.05
397,bandarbeyla,0,SO,1545781735,100,9.49,50.81,76.79,23.29
398,bose,0,IT,1545780000,100,45.46,8.01,33.8,5.82
399,meulaboh,20,ID,1545781735,100,4.14,96.13,76.38,3.15
400,kirovskiy,24,RU,1545781735,45,45.09,133.51,-1.02,7.74
401,puerto escondido,40,MX,1545777600,70,15.86,-97.07,84.2,5.82
402,ranot,36,TH,1545781736,97,7.78,100.32,73.23,4.16
403,were ilu,0,ET,1545781736,81,10.6,39.43,29.81,1.14
404,amuntai,68,ID,1545781737,87,-2.42,115.25,78.18,2.93
405,cayenne,90,GF,1545780600,78,4.94,-52.33,80.6,10.29
406,sri aman,76,MY,1545778800,94,1.24,111.46,73.4,3.36
407,sarankhola,0,BD,1545781738,91,22.31,89.79,54.15,6.06
408,nador,76,MA,1545780600,82,35.17,-2.93,57.2,2.24
409,bodden town,75,KY,1545778800,88,19.28,-81.25,78.8,9.17
410,gat,0,SN,1545780600,52,14.69,-16.54,69.8,13.87
411,cartagena,56,ES,1545778800,100,37.63,-1.0,50.0,6.93
412,nuuk,76,GL,1545778200,93,64.17,-51.74,33.8,12.75
413,pontes e lacerda,12,BR,1545781739,88,-15.23,-59.33,76.79,3.27
414,kudat,75,MY,1545778800,100,6.89,116.84,77.0,2.59
415,aksu,0,KZ,1545780600,66,52.04,76.93,-29.21,2.24
416,beclean,80,RO,1545778800,68,47.18,24.18,30.2,4.7
417,manokwari,92,ID,1545781741,100,-0.87,134.08,83.4,2.82
418,benguela,48,AO,1545781741,100,-12.58,13.4,76.61,6.4
419,narathiwat,75,TH,1545778800,94,6.43,101.8,77.0,4.7
420,iskenderun,75,TR,1545778200,93,36.58,36.17,48.2,1.12
421,north bend,75,US,1545778560,71,43.41,-124.22,50.0,3.36
422,yashan,92,CN,1545781743,100,30.81,118.02,45.02,3.6
423,kindu,80,CD,1545781743,86,-2.95,25.92,72.42,3.27
424,lagoa,0,PT,1545778800,93,37.14,-8.45,55.4,6.93
425,la ronge,75,CA,1545778800,84,55.1,-105.3,-2.21,3.36
426,bambanglipuro,32,ID,1545781744,98,-7.95,110.28,73.37,3.71
427,tabou,0,CI,1545781744,100,4.42,-7.36,81.56,9.31
428,north branch,90,US,1545780960,71,45.51,-92.98,30.2,5.39
429,gora kalwaria,75,PL,1545780600,93,51.98,21.22,39.2,10.29
430,opuwo,44,NA,1545781746,55,-18.06,13.84,68.28,5.61
431,havre,90,US,1545781500,88,48.55,-109.68,21.92,11.41
432,russell,8,AR,1545781746,73,-33.01,-68.8,66.03,4.72
433,sur,0,OM,1545781747,100,22.57,59.53,70.8,14.23
434,half moon bay,20,US,1545778560,59,37.46,-122.43,60.8,18.34
435,portland,90,US,1545781140,72,45.52,-122.67,44.96,2.15
436,port blair,24,IN,1545781748,100,11.67,92.75,80.57,9.19
437,miri,12,NG,1545781748,69,10.31,9.75,53.97,4.27
438,puerto montt,0,CL,1545778800,72,-41.47,-72.94,60.8,11.41
439,fairfield,1,US,1545779700,39,38.25,-122.04,63.86,13.87
440,ajdabiya,88,LY,1545781749,96,30.75,20.22,54.74,8.19
441,cervo,32,BR,1545781749,84,-22.19,-46.24,65.45,3.94
442,kiunga,44,PG,1545781750,90,-6.12,141.3,79.35,2.93
443,sakete,0,BJ,1545778800,61,6.74,2.66,80.6,4.7
444,vao,80,EE,1545781750,95,59.1,26.19,37.95,13.22
445,zaozerne,88,UA,1545781751,97,51.37,23.94,30.89,9.19
446,lewistown,1,US,1545780900,75,40.39,-90.15,44.96,3.38
447,vuktyl,44,RU,1545781751,76,63.86,57.31,9.38,8.97
448,leningradskiy,64,RU,1545781752,100,69.38,178.42,-9.8,24.63
449,pyaozerskiy,88,RU,1545781752,89,65.83,31.17,17.75,4.38
450,afsin,92,TR,1545781752,91,38.25,36.91,36.56,8.97
451,comodoro rivadavia,0,AR,1545778800,36,-45.87,-67.48,62.6,14.99
452,san quintin,8,PH,1545781753,84,17.54,120.52,75.12,4.16
453,kushima,75,JP,1545780480,100,31.5,131.29,51.8,6.93
454,bay roberts,90,CA,1545779820,73,47.58,-53.28,24.8,8.05
455,tambacounda,0,SN,1545778800,28,13.77,-13.67,73.4,4.7
456,fairbanks,0,US,1545778680,76,64.84,-147.72,-8.51,3.36
457,steinbach,90,CA,1545778800,77,49.53,-96.69,5.0,10.29
458,lhokseumawe,80,ID,1545781755,98,5.18,97.15,81.83,7.74
459,raudeberg,92,NO,1545780000,100,61.99,5.14,41.0,11.41
460,turukhansk,88,RU,1545781756,60,65.8,87.96,-20.28,19.93
461,marsh harbour,36,BS,1545781756,100,26.54,-77.06,73.55,14.79
462,grand gaube,20,MU,1545778800,88,-20.01,57.66,75.2,2.24
463,makakilo city,90,US,1545780480,78,21.35,-158.09,80.96,8.05
464,muroran,20,JP,1545778800,83,42.32,140.98,32.0,9.17
465,aransas pass,90,US,1545780900,83,27.91,-97.15,71.96,12.75
466,kimbe,88,PG,1545781758,100,-5.56,150.15,79.13,4.27
467,coalinga,1,US,1545778560,59,36.14,-120.36,57.92,16.11
468,nerchinskiy zavod,56,RU,1545781759,48,51.31,119.61,-18.08,7.4
469,etla,40,MX,1545777840,24,17.21,-96.8,78.8,1.92
470,hambantota,8,LK,1545781759,100,6.12,81.12,76.7,7.18
471,susehri,92,TR,1545781760,96,40.16,38.09,34.85,6.06
472,kaili,92,ID,1545781760,80,-3.46,120.21,73.77,2.71
473,lasa,75,CY,1545778800,68,34.92,32.53,66.2,17.22
474,kenai,75,US,1545778560,68,60.55,-151.26,24.98,20.8
475,porto novo,75,BR,1545778800,88,-23.68,-45.44,69.8,9.17
476,helmsdale,92,GB,1545780000,87,58.12,-3.65,50.0,9.17
477,dalbandin,0,PK,1545781762,73,28.9,64.41,40.97,9.75
478,olinda,75,EC,1545778800,66,-2.03,-79.75,84.2,13.87
479,berkovica,90,BA,1545778800,86,44.62,18.43,33.8,5.82
480,manggar,64,ID,1545781763,100,-2.88,108.27,77.51,6.73
481,grand-santi,76,GF,1545781763,99,4.27,-54.38,71.88,2.26
482,hjelset,92,NO,1545780000,86,62.78,7.5,41.0,4.7
483,vardo,1,US,1545780000,49,39.62,-77.74,35.96,2.59
484,ban nahin,0,LA,1545781764,88,18.24,104.21,59.24,2.59
485,araguaina,80,BR,1545781764,67,-7.19,-48.21,79.85,5.73
486,beringovskiy,8,RU,1545781765,100,63.05,179.32,-10.83,11.77
487,sampit,48,ID,1545781765,98,-2.54,112.95,75.57,4.61
488,halifax,20,CA,1545778800,78,44.65,-63.58,14.0,9.17
489,touros,40,BR,1545778800,78,-5.2,-35.46,80.6,8.05
490,balabac,76,PH,1545781766,100,7.99,117.06,79.17,7.63
491,narsaq,92,GL,1545781766,95,60.91,-46.05,26.57,1.59
492,camacha,40,PT,1545778800,88,33.08,-16.33,64.4,8.05
493,nuevo progreso,90,US,1545780120,92,26.05,-97.95,73.04,12.75
494,batticaloa,64,LK,1545781767,100,7.71,81.69,75.17,4.05
495,mogok,0,MM,1545781767,87,22.92,96.51,45.6,2.15
496,gokak,56,IN,1545781768,77,16.17,74.82,69.63,0.92
497,bozhou,92,CN,1545781768,83,33.86,115.78,36.65,11.32
498,majene,80,ID,1545781768,100,-3.54,118.97,77.6,7.18
499,kitimat,75,CA,1545778920,100,54.02,-128.69,30.2,8.05
500,ponta delgada,20,PT,1545778800,76,37.73,-25.67,53.6,3.36
501,dandong,0,CN,1545781769,36,40.12,124.37,4.38,7.96
502,umba,80,RU,1545781770,93,66.69,34.34,22.65,9.08
503,kutum,8,SD,1545781770,73,14.2,24.66,47.22,4.38
504,carbonear,90,CA,1545779820,73,47.73,-53.24,24.8,8.05
505,toora-khem,8,RU,1545781771,49,52.47,96.11,-32.43,1.25
506,santa cruz,1,US,1545779400,54,36.97,-122.03,62.06,16.11
507,ipixuna,40,BR,1545778800,94,-1.76,-48.8,75.2,3.36
508,mucurici,80,BR,1545781773,95,-18.09,-40.52,73.01,8.63
509,krasnyy chikoy,20,RU,1545781773,55,50.36,108.75,-21.14,3.83
510,airai,68,TL,1545781773,76,-8.93,125.41,76.88,1.59
511,tabuk,0,PH,1545781774,86,17.41,121.44,69.72,2.04
512,kahului,40,US,1545778560,69,20.89,-156.47,82.04,18.34
513,benghazi,76,LY,1545781774,100,32.12,20.07,61.8,24.96
514,djambala,76,CG,1545781775,97,-2.55,14.76,71.39,5.73
515,hualmay,44,PE,1545781775,83,-11.1,-77.61,69.23,4.83
516,la roche-sur-yon,0,FR,1545778800,86,46.67,-1.43,41.0,6.93
517,paamiut,88,GL,1545781776,96,61.99,-49.67,31.47,8.97
518,acajutla,0,SV,1545781776,43,13.59,-89.83,85.02,5.61
519,grindavik,75,IS,1545780600,81,63.84,-22.43,44.6,29.97
520,paka,0,HR,1545778800,86,45.29,18.06,33.8,9.17
521,sao domingos,32,BR,1545781777,95,-13.4,-46.32,70.49,2.82
522,aklavik,20,CA,1545778800,67,68.22,-135.01,-23.81,9.17
523,pahrump,90,US,1545778680,52,36.21,-115.98,50.0,6.93
524,ust-maya,20,RU,1545781778,43,60.42,134.54,-27.44,4.94
525,aasiaat,48,GL,1545781778,100,68.71,-52.87,22.83,7.29
526,nagato,75,JP,1545778800,87,34.35,131.14,48.2,3.36
527,udomlya,88,RU,1545781778,86,57.88,35.0,17.57,11.54
528,ponezhukay,20,RU,1545780600,100,44.89,39.38,32.0,8.95
529,chingirlau,92,KZ,1545781779,88,51.09,54.08,10.23,13.44
530,necochea,0,AR,1545781779,36,-38.55,-58.74,84.12,11.43
